SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
NATCOPHARM, EQ, 16-Dec-2021,872.6,872.6,879.8,853,859.8,859.5,862.61,183215,1580.43,6986,86203,47.05
NATHBIOGEN, EQ, 16-Dec-2021,261.8,262.05,263.9,258.65,263.55,261.7,261.21,15530,40.57,874,10192,65.63
NATIONALUM, EQ, 16-Dec-2021,100.3,101.1,101.8,99.3,100.95,100.8,100.56,18773061,18878.05,44560,2965887,15.8
NATNLSTEEL, BE, 16-Dec-2021,5.2,4.95,4.95,4.95,4.95,4.95,4.95,3005,0.15,4, -, -
NAUKRI, EQ, 16-Dec-2021,5478.4,5517,5545,5435.05,5505.2,5512.15,5499.36,305894,16822.2,39429,126179,41.25
NAVINFLUOR, EQ, 16-Dec-2021,4000.35,4010,4040,3911.1,4016,4010.85,4003.43,94224,3772.19,10008,28925,30.7
NAVKARCORP, EQ, 16-Dec-2021,42.15,42.5,42.8,40.9,41.3,41.1,41.47,284862,118.14,2127,175178,61.5
NAVNETEDUL, EQ, 16-Dec-2021,98.2,99,99,96.2,96.65,96.7,97.4,251234,244.69,2889,200379,79.76
NAZARA, BE, 16-Dec-2021,2400.45,2400,2435,2350,2370,2356.9,2388.19,19836,473.72,2796, -, -
NBCC, EQ, 16-Dec-2021,45.15,45.5,45.7,43.8,44.25,44.05,44.41,2794740,1241.13,12250,1187438,42.49
NBIFIN, EQ, 16-Dec-2021,2483.6,2498.5,2542.8,2401.55,2484,2459.8,2465.31,82,2.02,35,42,51.22
NBVENTURES, EQ, 16-Dec-2021,116.5,117.25,117.95,114.4,116,116.3,116.04,161873,187.84,3280,81397,50.28
NCC, EQ, 16-Dec-2021,73.75,74.65,74.65,72.05,72.5,72.4,72.77,2133521,1552.66,14992,972940,45.6
NCLIND, EQ, 16-Dec-2021,220.25,222.7,224,218,220.05,219.05,220.31,73660,162.28,2057,35744,48.53
NCPSESDL24, EQ, 16-Dec-2021,107.37,107.41,107.41,107.37,107.37,107.37,107.37,5106,5.48,7,5106,100
NDGL, EQ, 16-Dec-2021,1402.4,1448,1448,1385.05,1388,1388,1391.65,80,1.11,18,56,70
NDL, EQ, 16-Dec-2021,123.55,123.1,124.8,117.6,119.1,119.6,120.37,318814,383.75,4296,198220,62.17
NDRAUTO, EQ, 16-Dec-2021,336.55,336.55,347,331,336.5,335.15,339.87,10143,34.47,448,1495,14.74
NDTV, EQ, 16-Dec-2021,119.6,122,131.55,120,131.55,131.55,126.01,817502,1030.13,20854,289796,35.45
NECCLTD, EQ, 16-Dec-2021,21.2,21.7,22.2,20.25,20.3,20.3,20.8,152976,31.83,812,103785,67.84
NECLIFE, EQ, 16-Dec-2021,29.1,29.6,29.65,25.4,26.35,26.3,27.06,2064479,558.58,9026,890884,43.15
NELCAST, EQ, 16-Dec-2021,86.75,87.9,88.95,83.7,85.55,84.8,86.1,145386,125.18,3094,80374,55.28
NELCO, BE, 16-Dec-2021,715.45,710,720,702.65,710.95,707.3,708.9,24601,174.4,1344, -, -
NEOGEN, EQ, 16-Dec-2021,1707.3,1715,1728.7,1650,1664,1657.1,1680.23,54155,909.93,7363,20671,38.17
NESCO, EQ, 16-Dec-2021,603.4,606.4,606.45,587.05,594.05,594.95,594.13,49679,295.16,2407,27703,55.76
NESTLEIND, EQ, 16-Dec-2021,19203.1,19205,19315.35,19125.4,19261.45,19257.15,19237.12,40417,7775.07,14364,22192,54.91
NETF, EQ, 16-Dec-2021,178.22,177,182,177,178.44,177.68,178.74,1360,2.43,129,974,71.62
NETFCONSUM, EQ, 16-Dec-2021,75.9,75.75,76.8,74.66,75.85,75.82,75.5,17460,13.18,214,9618,55.09
NETFDIVOPP, EQ, 16-Dec-2021,45.09,44.5,45.77,43.74,44.95,44.87,44.74,3194,1.43,79,1711,53.57
NETFGILT5Y, EQ, 16-Dec-2021,49.38,49.42,49.43,49.28,49.38,49.38,49.32,1118,0.55,18,1060,94.81
NETFIT, EQ, 16-Dec-2021,36.56,36.85,37.19,36.72,36.91,36.86,36.87,289959,106.89,2175,189752,65.44
NETFLTGILT, EQ, 16-Dec-2021,22.93,22.93,23,22.83,22.88,22.91,22.92,22512,5.16,146,17987,79.9
NETFMID150, EQ, 16-Dec-2021,118.33,119.47,120,117.01,117.99,117.48,117.57,90797,106.75,1296,63752,70.21
NETFNIF100, EQ, 16-Dec-2021,181.01,183.19,188,179.5,181.69,181.28,183.35,6158,11.29,137,4374,71.03
NETFNV20, EQ, 16-Dec-2021,97.2,96.12,98.93,96.12,97.58,97.33,96.73,16473,15.93,116,15978,97
NETFPHARMA, EQ, 16-Dec-2021,13.55,13.85,13.85,13.4,13.45,13.42,13.45,178643,24.03,812,144504,80.89
NETFSDL26, EQ, 16-Dec-2021,107.18,107.21,107.27,107.16,107.21,107.26,107.25,1813,1.94,19,1733,95.59
NETWORK18, EQ, 16-Dec-2021,102.5,104.1,104.65,97.15,99.65,99.15,99.62,3288552,3276.21,17117,1019522,31
NEULANDLAB, EQ, 16-Dec-2021,1582.65,1622.9,1622.9,1579.9,1590.1,1591.05,1593.57,18223,290.4,2415,10909,59.86
NEWGEN, EQ, 16-Dec-2021,603.9,608.9,612.9,601.5,604.1,605.2,605.3,51810,313.61,6492,30894,59.63
NEXTMEDIA, BE, 16-Dec-2021,10.95,11,11.45,10.45,10.45,10.45,10.66,112227,11.97,244, -, -
NFL, EQ, 16-Dec-2021,53.55,53.9,55.25,52.6,53.55,53.55,54.27,1525574,827.94,10413,292161,19.15
NGIL, BE, 16-Dec-2021,200.95,210.95,210.95,210.95,210.95,210.95,210.95,25562,53.92,124, -, -
NH, EQ, 16-Dec-2021,601.85,601.85,605.95,581.2,595,595.55,593.65,119303,708.25,7857,38315,32.12
NHAI, N1, 16-Dec-2021,1019,1019,1020,1015.5,1020,1019,1017.64,9046,92.06,32,7736,85.52
NHAI, N2, 16-Dec-2021,1188,1188,1188,1188,1188,1188,1188,25,0.3,1,25,100
NHAI, N3, 16-Dec-2021,1248,1129,1129.6,1129,1129.6,1129.6,1129.3,2,0.02,2,1,50
NHAI, N6, 16-Dec-2021,1311.83,1314,1314,1308,1310,1310,1311.96,480,6.3,6,280,58.33
NHAI, N8, 16-Dec-2021,1141,1155,1155,1155,1155,1155,1155,70,0.81,1,70,100
NHAI, NA, 16-Dec-2021,1255,1241.5,1259.5,1241.5,1253,1252.99,1250.33,2117,26.47,33,1827,86.3
NHAI, NC, 16-Dec-2021,1154,1112,1135.79,1097.21,1120,1120,1107.68,587,6.5,9,517,88.07
NHAI, ND, 16-Dec-2021,1399.61,1235,1235,1209.26,1235,1235,1227.98,55,0.68,5,40,72.73
NHAI, NE, 16-Dec-2021,1219.2,1226.99,1226.99,1226.99,1226.99,1226.99,1226.99,3,0.04,2,3,100
NHBTF2023, N6, 16-Dec-2021,6600,6600,6600,6600,6600,6600,6600,10,0.66,1,10,100
NHPC, EQ, 16-Dec-2021,30.95,31.35,31.5,30.8,30.95,30.9,31.08,6574893,2043.58,18650,4069524,61.89
NIACL, EQ, 16-Dec-2021,141.05,142.45,143.8,139.7,139.95,139.95,140.82,136179,191.77,3650,85762,62.98
NIBL, EQ, 16-Dec-2021,24.85,24.55,25.3,24.35,24.35,24.55,24.78,4293,1.06,92,3242,75.52
NIDAN, SM, 16-Dec-2021,51.15,51.15,53,48.8,51.9,50,50.53,152000,76.8,117,97000,63.82
NIFTYBEES, EQ, 16-Dec-2021,186.25,190,190,185,187,186.62,186.62,1960645,3658.88,17593,1280265,65.3
NIITLTD, EQ, 16-Dec-2021,418.75,422.4,422.75,407.25,413.6,413.3,412.35,584500,2410.17,27049,217903,37.28
NILAINFRA, BE, 16-Dec-2021,6.2,6.5,6.5,6.3,6.5,6.5,6.49,427405,27.75,611, -, -
NILASPACES, BE, 16-Dec-2021,2.8,2.9,2.9,2.9,2.9,2.9,2.9,114196,3.31,214, -, -
NILKAMAL, EQ, 16-Dec-2021,2483.25,2493.8,2495.7,2460.25,2480,2474,2473.41,2260,55.9,450,1556,68.85
NIPPOBATRY, EQ, 16-Dec-2021,428.15,429.6,447.15,426.05,435.15,438.3,434.62,3742,16.26,408,2146,57.35
